date,close,ticker_indice_yf,short_name_indice
,8602.6504,^DJI,Dow Jones Industrial Average
,7827.4302,^DJI,Dow Jones Industrial Average
1998-02-09 00:00:00+00:00,8020.7798,^DJI,Dow Jones Industrial Average
1998-09-09 00:00:00+00:00,8024.3901,^DJI,Dow Jones Industrial Average
,7897.2002,^DJI,Dow Jones Industrial Average
,8080.52,^DJI,Dow Jones Industrial Average
,7742.98,^DJI,Dow Jones Industrial Average
1998-07-10 00:00:00+00:00,7938.1401,^DJI,Dow Jones Industrial Average
,8505.8496,^DJI,Dow Jones Industrial Average
,8366.04,^DJI,Dow Jones Industrial Average
,8706.1504,^DJI,Dow Jones Industrial Average
1998-04-11 00:00:00+00:00,8863.9805,^DJI,Dow Jones Industrial Average
1998-11-11 00:00:00+00:00,8986.2803,^DJI,Dow Jones Industrial Average
,9301.1504,^DJI,Dow Jones Industrial Average
,9133.54,^DJI,Dow Jones Industrial Average
1998-02-12 00:00:00+00:00,9027.9805,^DJI,Dow Jones Industrial Average
1998-09-12 00:00:00+00:00,8823.2998,^DJI,Dow Jones Industrial Average
,9044.46,^DJI,Dow Jones Industrial Average
,9320.9805,^DJI,Dow Jones Industrial Average
,9311.1904,^DJI,Dow Jones Industrial Average
1999-06-01 00:00:00+00:00,9474.6797,^DJI,Dow Jones Industrial Average
,9355.2197,^DJI,Dow Jones Industrial Average
,9324.5801,^DJI,Dow Jones Industrial Average
,9274.1201,^DJI,Dow Jones Industrial Average
1999-03-02 00:00:00+00:00,9133.0303,^DJI,Dow Jones Industrial Average
1999-10-02 00:00:00+00:00,9297.0303,^DJI,Dow Jones Industrial Average
,9544.4199,^DJI,Dow Jones Industrial Average
,9297.6104,^DJI,Dow Jones Industrial Average
1999-03-03 00:00:00+00:00,9693.7598,^DJI,Dow Jones Industrial Average
1999-10-03 00:00:00+00:00,9930.4697,^DJI,Dow Jones Industrial Average
,9671.8301,^DJI,Dow Jones Industrial Average
,9913.2598,^DJI,Dow Jones Industrial Average
,9963.4902,^DJI,Dow Jones Industrial Average
1999-07-04 00:00:00+00:00,10395.0098,^DJI,Dow Jones Industrial Average
,10448.5498,^DJI,Dow Jones Industrial Average
,10831.71,^DJI,Dow Jones Industrial Average
,10886.1104,^DJI,Dow Jones Industrial Average
1999-05-05 00:00:00+00:00,11026.1504,^DJI,Dow Jones Industrial Average
1999-12-05 00:00:00+00:00,10836.9502,^DJI,Dow Jones Industrial Average
,10531.0898,^DJI,Dow Jones Industrial Average
,10596.2598,^DJI,Dow Jones Industrial Average
1999-02-06 00:00:00+00:00,10765.6396,^DJI,Dow Jones Industrial Average
1999-09-06 00:00:00+00:00,10594.9902,^DJI,Dow Jones Industrial Average
,10721.6299,^DJI,Dow Jones Industrial Average
,10815.3496,^DJI,Dow Jones Industrial Average
,11135.1201,^DJI,Dow Jones Industrial Average
1999-07-07 00:00:00+00:00,11175.0195,^DJI,Dow Jones Industrial Average
,10996.1299,^DJI,Dow Jones Industrial Average
,10979.04,^DJI,Dow Jones Industrial Average
,10677.3096,^DJI,Dow Jones Industrial Average
1999-04-08 00:00:00+00:00,10655.1504,^DJI,Dow Jones Industrial Average
1999-11-08 00:00:00+00:00,11117.0801,^DJI,Dow Jones Industrial Average
,11283.2998,^DJI,Dow Jones Industrial Average
,10829.2803,^DJI,Dow Jones Industrial Average
1999-01-09 00:00:00+00:00,11034.1299,^DJI,Dow Jones Industrial Average
1999-08-09 00:00:00+00:00,10910.3301,^DJI,Dow Jones Industrial Average
,10598.4697,^DJI,Dow Jones Industrial Average
,10275.5303,^DJI,Dow Jones Industrial Average
,10400.5898,^DJI,Dow Jones Industrial Average
1999-06-10 00:00:00+00:00,10417.0596,^DJI,Dow Jones Industrial Average
,10204.9297,^DJI,Dow Jones Industrial Average
,10302.1299,^DJI,Dow Jones Industrial Average
,10581.8398,^DJI,Dow Jones Industrial Average
1999-03-11 00:00:00+00:00,10617.3203,^DJI,Dow Jones Industrial Average
1999-10-11 00:00:00+00:00,10932.3301,^DJI,Dow Jones Industrial Average
,10995.6299,^DJI,Dow Jones Industrial Average
,10877.8096,^DJI,Dow Jones Industrial Average
1999-01-12 00:00:00+00:00,11106.6504,^DJI,Dow Jones Industrial Average
1999-08-12 00:00:00+00:00,11160.1699,^DJI,Dow Jones Industrial Average
,11200.54,^DJI,Dow Jones Industrial Average
,11476.71,^DJI,Dow Jones Industrial Average
,10997.9297,^DJI,Dow Jones Industrial Average
2000-05-01 00:00:00+00:00,11511.0801,^DJI,Dow Jones Industrial Average
2000-12-01 00:00:00+00:00,11560.7197,^DJI,Dow Jones Industrial Average
,11029.8896,^DJI,Dow Jones Industrial Average
,11041.0498,^DJI,Dow Jones Industrial Average
2000-02-02 00:00:00+00:00,10957.5996,^DJI,Dow Jones Industrial Average
2000-09-02 00:00:00+00:00,10718.0898,^DJI,Dow Jones Industrial Average
,10304.8398,^DJI,Dow Jones Industrial Average
,10128.3096,^DJI,Dow Jones Industrial Average
2000-01-03 00:00:00+00:00,9796.0303,^DJI,Dow Jones Industrial Average
2000-08-03 00:00:00+00:00,9811.2402,^DJI,Dow Jones Industrial Average
,10907.3398,^DJI,Dow Jones Industrial Average
,10936.1104,^DJI,Dow Jones Industrial Average
,11164.8398,^DJI,Dow Jones Industrial Average
2000-05-04 00:00:00+00:00,11287.0801,^DJI,Dow Jones Industrial Average
2000-12-04 00:00:00+00:00,10767.4199,^DJI,Dow Jones Industrial Average
,11124.8203,^DJI,Dow Jones Industrial Average
,10731.1201,^DJI,Dow Jones Industrial Average
2000-03-05 00:00:00+00:00,10536.75,^DJI,Dow Jones Industrial Average
2000-10-05 00:00:00+00:00,10934.5703,^DJI,Dow Jones Industrial Average
,10422.2695,^DJI,Dow Jones Industrial Average
,10527.1299,^DJI,Dow Jones Industrial Average
,10735.5703,^DJI,Dow Jones Industrial Average
2000-07-06 00:00:00+00:00,10621.8398,^DJI,Dow Jones Industrial Average
,10435.1602,^DJI,Dow Jones Industrial Average
,10504.46,^DJI,Dow Jones Industrial Average
,10560.6699,^DJI,Dow Jones Industrial Average
2000-05-07 00:00:00+00:00,10727.1904,^DJI,Dow Jones Industrial Average
2000-12-07 00:00:00+00:00,10739.9199,^DJI,Dow Jones Industrial Average
,10699.9697,^DJI,Dow Jones Industrial Average
